,1a,1b,1c,1d,1e,1f,1g,1h,1i,2a,2b,2c,2d,2e,2f,2g,2h,2i
2022/05/07 10:49:23,179.78819396930922,281.7131980971959,167.82098773999934,129.700646841708,131.20247197698345,115.95364290852424,133.24564532825667,381.33167368974097,349.70635185814956,834.3391151608694,1044.8045123963032,793.8356418999325,214.246132886319,193.03219947080896,243.41587698143064,104.41280360192751,125.90483570517394,115.9946836443225
2022/05/07 10:49:25,179.80711207253114,281.48245113448706,167.6743423470074,129.6532658791736,131.10767935218973,115.90633420068724,133.12412200923973,381.311306671972,349.5671889882478,834.81089833917,1045.3693137022624,793.9844563199048,214.21559609428843,192.934238445957,243.28761276835627,104.43179120032758,125.82278628470786,115.88605589699682
2022/05/07 10:50:00,179.82603017575303,281.24208971499866,167.51792059448263,129.60588491663916,131.00340746491665,115.84956375128282,133.00259869022278,381.2603891275494,349.40814570836,835.2638101903384,1045.9243770546707,794.1035078558826,214.1647014409042,192.8264813186198,243.149482077353,104.45077879872763,125.73048068668355,115.76755289991425
2022/05/07 10:50:02,179.83548922736398,280.9824993819512,167.3614988419579,129.55850395410476,130.8896563151642,115.7927933018784,132.88107537120587,381.19928807424225,349.2093416085004,835.6884150508089,1046.440488592875,794.2027174691976,214.11380678751996,192.70892808879745,243.00148490842102,104.45077879872764,125.63817508865922,115.64904990283168
2022/05/07 10:50:04,179.7787349176983,280.62676448110835,167.11708985363794,129.43531345151527,130.71902959053548,115.65086717836735,132.70346436648882,380.99561789655183,348.88131484373184,835.877128322129,1046.6741994780996,794.0539030492253,213.99165961939775,192.52280214157872,242.754822960201,104.40330980272748,125.48433242528536,115.48117065696471
2022/05/07 10:50:07,179.7219806080326,280.26141512348596,166.87268086531802,129.3026467564189,130.5484028659068,115.4994793132889,132.52585336177177,380.7919477188614,348.5532880789634,836.0564059298832,1046.907910363324,793.8852467065901,213.8695124512756,192.33667619435994,242.508161011981,104.33685320832728,125.32023358435322,115.31329141109774
2022/05/07 10:50:09,179.6273900919231,279.886451309084,166.62827187699807,129.16050386881568,130.36829687879873,115.33862970664306,132.32954646182134,380.588277541171,348.22526131419494,836.2356835376374,1047.1416212485485,793.7165903639548,213.72700742179967,192.15055024714124,242.2417661079034,104.26090281472703,125.1561347434211,115.14541216523077
2022/05/07 10:50:11,179.5233405242027,279.5114874946821,166.38386288867815,129.01836098121242,130.18819089169068,115.17778009999718,132.1332395618709,380.3846073634806,347.8872943444336,836.4055254818257,1047.355856226671,793.5280920986567,213.58450239232383,191.9546281974373,241.97537120382577,104.1849524211268,124.99203590248896,114.96765766960691
2022/05/07 10:50:13,179.40983190487128,279.1365236802802,166.1394539003582,128.87621809360917,130.0080849045826,115.01693049335134,131.93693266192048,380.1707536769057,347.5493273746721,836.5659317624478,1047.5700912047935,793.3395938333583,213.44199736284793,191.74891004524815,241.70897629974823,104.10900202752656,124.82793706155685,114.78990317398305
2022/05/07 10:50:48,179.29632328553987,278.76155986587827,165.89504491203826,128.73407520600594,129.82797891747455,114.8560808867055,131.74062576197002,379.9568999903307,347.2113604049107,836.72633804307,1047.7843261829162,793.1510955680602,213.29949233337203,191.543191893059,241.4425813956706,104.03305163392632,124.66383822062473,114.61214867835919
2022/05/07 10:50:50,179.18281466620851,278.3865960514764,165.65063592371834,128.59193231840268,129.6478729303665,114.69523128005964,131.54431886201962,379.7430463037558,346.87339343514924,836.8867443236921,1047.9888232074875,792.9625973027622,213.15698730389613,191.33747374086988,241.17618649159297,103.95710124032608,124.4997393796926,114.43439418273533
2022/05/07 10:50:52,179.0693060468771,278.0116322370744,165.40622693539842,128.44978943079943,129.46776694325843,114.5343816734138,131.3480119620692,379.49864209052737,346.53542646538784,836.9811009593523,1048.1154166036508,792.7641780761326,213.0144822744203,191.13175558868073,240.90979158751537,103.87165704752582,124.33564053876047,114.25663968711149
2022/05/07 10:50:53,178.95579742754572,277.6366684226725,165.16181794707845,128.3076465431962,129.28766095615035,114.37353206676794,131.15170506211876,379.25423787729886,346.1974594956264,837.0754575950123,1048.232272046263,792.5558378881714,212.87197724494436,190.92603743649158,240.64339668343777,103.78621285472555,124.17154169782833,114.07888519148763
2022/05/07 10:50:55,178.84228880821436,277.2617046082706,164.91740895875856,128.16550365559294,129.1075549690423,114.21268246012208,130.95539816216834,379.00983366407036,345.849552320872,837.1698142306723,1048.3491274888752,792.3375767388787,212.7294722154685,190.72031928430243,240.37700177936014,103.70076866192528,124.00744285689622,113.90113069586377
2022/05/07 10:50:57,178.72878018888295,276.8867407938687,164.67299997043864,128.01388457548282,128.92744898193422,114.05183285347623,130.7590912622179,378.76542945084196,345.5016451461175,837.2641708663325,1048.4659829314878,792.1093946282546,212.5869671859926,190.5146011321133,240.11060687528257,103.61532446912503,123.83308783840585,113.72337620023991
2022/05/07 10:50:59,178.61527156955154,276.50216252268723,164.4188146225859,127.86226549537268,128.73786373234682,113.89098324683039,130.56278436226748,378.50065821984447,345.1437977663701,837.3490918384266,1048.5828383740998,791.8812125176305,212.44446215651675,190.30888297992416,239.84421197120494,103.52988027632473,123.65873281991546,113.54562170461605
2022/05/07 10:51:01,178.50176295022015,276.1175842515058,164.16462927473316,127.71064641526256,128.54827848275937,113.73013364018453,130.36647746231705,378.2358869888469,344.7859503866227,837.4245771469547,1048.651004048957,791.6331884843433,212.30195712704082,190.10316482773501,239.56795058919855,103.44443608352447,123.48437780142508,113.36786720899221
2022/05/07 10:51:36,178.3882543308888,275.7330059803243,163.91044392688042,127.55902733515244,128.35869323317195,113.55982229197129,130.16082261474995,377.96093224896487,344.4082225968893,837.4811911283507,1048.709431770263,791.3653225283933,212.1492731668881,189.88765057306068,239.28182272926333,103.3589918907242,123.31002278293468,113.18023746361145
2022/05/07 10:51:38,178.2747457115574,275.3484277091428,163.6562585790277,127.39793206253542,128.15962872110515,113.38004920219062,129.94581981956614,377.6757940001983,344.01061439717,837.5189337826148,1048.7483835844673,791.0875356111118,211.98641027605854,189.66234021590117,238.9956948693281,103.27354769792395,123.13566776444429,112.99260771823073
2022/05/07 10:51:40,178.161237092226,274.9638494379614,163.40207323117497,127.2368367899184,127.96056420903834,113.20027611240995,129.73081702438233,377.3295546981246,343.58318558247174,837.4434484740867,1048.6704799560591,790.7204600418471,211.81336845455206,189.41743765377123,238.68983405353532,103.18810350512368,122.95105656839566,112.80497797285
2022/05/07 10:51:42,178.0855646793384,274.5888856235595,163.14788788332223,127.0757415173014,127.76149969697153,113.0205030226293,129.50646628158185,376.9833153960509,343.1557567677734,837.3679631655585,1048.5828383740998,790.3533844725822,211.64032663304562,189.1725350916413,238.3839732377425,103.1026593123234,122.75618919478876,112.60747297771238
2022/05/07 10:51:45,178.0098922664508,274.2235362659371,162.8839261759367,126.93359862969814,127.56243518490473,112.84072993284865,129.28211553878137,376.6370760939772,342.7183877480822,837.2736065298986,1048.4757208850385,789.9763879419858,211.46728481153923,188.92763252951138,238.0781124219497,103.0362027179232,122.5510656436236,112.40996798257476
2022/05/07 10:51:47,177.94367890517418,273.8581869083147,162.61996446855116,126.7914557420949,127.36337067283792,112.6704185846354,129.0577647959809,376.29083679190353,342.2810187283909,837.1698142306725,1048.3588654424263,789.589470450058,211.29424299003279,188.68272996738142,237.76238512822812,102.97923992272301,122.34594209245846,112.21246298743715
2022/05/07 10:51:49,177.87746554389753,273.5024520074719,162.35600276116563,126.64931285449167,127.1643061607711,112.53795420269174,128.83341405318038,375.9445974898298,341.8436497086997,837.0660219314462,1048.242009999814,789.2025529581301,211.1212011685263,188.4378274052515,237.4466578345065,102.93177092672286,122.13056236373504,112.01495799229951
2022/05/07 10:52:26,177.81125218262088,273.146717106629,162.0920410537801,126.50716996688841,126.96524164870432,112.39602807918071,128.6090633103799,375.5983581877561,341.4062806890083,836.9527939686543,1048.1154166036508,788.8057145048708,210.93798041634307,188.1929248431216,237.13093054078487,102.88430193072271,121.93569499012811,111.81745299716191
2022/05/07 10:52:28,177.73557976973328,272.7909822057862,161.8183029868618,126.36502707928517,126.7661771366375,112.25410195566965,128.3847125675794,375.2419353767979,340.96891166931704,836.839566005862,1047.9985611610384,788.3989550902799,210.76493859483662,187.9578183834769,236.81520324706327,102.83683293472258,121.75108379407948,111.61994800202429
2022/05/07 10:52:30,177.6599073568457,272.43524730494335,161.54456491994344,126.22288419168191,126.56711262457071,112.11217583215861,128.1697097723956,374.8753290569552,340.52160244463283,836.716902379504,1047.871967764875,787.9921956756892,210.5918967733302,187.72271192383212,236.4896094754129,102.78936393872243,121.56647259803084,111.42244300688667
