,2W,2R_B,2L_B,2L_F,1test
2022/05/08 12:14:38,1958.9693642524715,5512.739928362452,6379.606479930177,1460.5390807595318,8600.929408950436
2022/05/08 12:14:40,1958.6300631659942,5510.321482147593,6377.028713471943,1460.061280108208,8597.203604719403
2022/05/08 12:14:41,1958.2907620795165,5507.940677118954,6374.518276734632,1459.583479456884,8593.53757274876
2022/05/08 12:14:43,1957.9514609930393,5505.597513276542,6372.075169718247,1459.1056788055607,8589.871540778118
2022/05/08 12:14:45,1957.6121599065618,5503.254349434129,6369.660918296542,1458.6278781542367,8586.255319024467
2022/05/08 12:14:47,1957.2728588200846,5500.94882677794,6367.304378064202,1458.1500775029128,8582.678945444413
2022/05/08 12:14:49,1956.9335577336074,5498.643304121751,6364.957456363421,1457.6527747841883,8579.162344124747
2022/05/08 12:14:51,1956.56517369686,5496.337781465561,6362.639390257322,1457.1164679306619,8575.65570484848
2022/05/08 12:14:52,1956.1483180763307,5494.032258809372,6360.330942682784,1456.5704100434348,8572.149065572212
2022/05/08 12:14:54,1955.7314624558012,5491.726736153183,6358.08020629761,1456.0243521562077,8568.652388339344
2022/05/08 12:14:56,1955.3146068352721,5489.421213496994,6355.858325507117,1455.4587922015796,8565.225445410266
2022/05/08 12:14:58,1954.8977512147426,5487.162742323584,6353.646063248184,1454.8932322469516,8561.84831269818
2022/05/08 12:15:00,1954.4615069607,5484.9513226329545,6351.491512178616,1454.3276722923233,8558.55087633328
2022/05/08 12:15:02,1954.0252627066577,5482.777544128546,6349.462002019334,1453.752361303995,8555.293288141975
2022/05/08 12:15:05,1953.5890184526152,5480.60376562414,6347.470965986296,1453.1770503156663,8552.055624037466
2022/05/08 12:15:07,1953.1527741985728,5478.467628305955,6345.528022611058,1452.5822372599368,8548.827921976359
2022/05/08 12:15:09,1952.7165299445307,5476.369132173995,6343.594697767383,1451.9874242042076,8545.630106045444
2022/05/08 12:15:11,1952.2802856904882,5474.280046338592,6341.680609986829,1451.392611148478,8542.442252157927
2022/05/08 12:15:13,1951.8440414364459,5472.219191392855,6339.804996332517,1450.7977980927485,8539.254398270414
2022/05/08 12:15:15,1951.4077971824033,5470.158336447118,6337.929382678204,1450.202985037019,8536.096430513095
2022/05/08 12:15:17,1950.971552928361,5468.116302094494,6336.082624618575,1449.6081719812896,8532.948424799171
2022/05/08 12:15:19,1950.5353086743187,5466.093088334982,6334.245485090504,1449.0133589255597,8529.820343172047
2022/05/08 12:15:21,1950.0990644202761,5464.079284872024,6332.408345562435,1448.4185458698303,8526.702223588321
2022/05/08 12:15:22,1949.6628201662338,5462.084302002179,6330.590443097486,1447.8237328141008,8523.594066047996
2022/05/08 12:15:24,1949.2265759121913,5460.089319132334,6328.772540632537,1447.2289197583716,8520.794731853019
2022/05/08 12:15:26,1948.7903316581492,5458.094336262487,6326.964256699149,1446.6341067026422,8518.075094005233
2022/05/08 12:15:28,1948.3637817208632,5456.136994578866,6325.348343396973,1446.0392936469125,8515.415228417838
2022/05/08 12:15:30,1947.9663147338467,5454.179652895244,6323.742048626356,1445.444480591183,8512.805173047434
2022/05/08 12:15:32,1947.5882363803435,5452.31641417718,6322.29926889227,1444.8496675354536,8510.304700154415
2022/05/08 12:15:34,1947.229546660353,5450.556688721232,6321.11618951032,1444.274356547125,8507.854037478386
2022/05/08 12:15:36,1946.8902455738755,5448.853425044618,6320.087006633338,1443.7282986598977,8505.46314706275
2022/05/08 12:15:39,1946.5703331209113,5447.216033443896,6319.1347720088415,1443.2017428400718,8503.221687298092
2022/05/08 12:15:41,1946.2795036182163,5445.616283029399,6318.278722699951,1442.6946890876466,8501.049961837221
2022/05/08 12:15:43,1946.0080627490343,5444.120045877014,6317.605425490709,1442.2071374026225,8498.95793272354
2022/05/08 12:15:45,1945.765704830122,5442.699091097076,6317.086024786439,1441.7293367512987,8496.98544813064
2022/05/08 12:15:47,1945.533041227966,5441.334598096476,6316.643572334652,1441.2612871336753,8495.192280318912
2022/05/08 12:15:49,1945.3294605760796,5440.054797764877,6316.316542261592,1440.8127395834533,8493.498732941169
2022/05/08 12:15:51,1945.1452685577062,5438.840869509169,6316.143408693501,1440.3739430669316,8491.934692127606
2022/05/08 12:15:53,1944.9610765393325,5437.636351550016,6315.979893656973,1439.9351465504096,8490.47027174803
2022/05/08 12:15:54,1944.8253561047418,5436.516526259868,6315.94141953073,1439.515852101289,8489.02577545525
2022/05/08 12:15:56,1944.7187186204203,5435.471983342165,6316.037604846336,1439.1258107532697,8487.670937553055
2022/05/08 12:15:58,1944.641164086368,5434.483902203799,6316.239594009109,1438.7552714726512,8486.535264605627
2022/05/08 12:16:00,1944.6023868193422,5433.684026996549,6316.768613244941,1438.404234259434,8485.748263177147
2022/05/08 12:16:02,1944.5926925025858,5433.034716534193,6317.518858706665,1438.0629480799169,8485.21031283363
2022/05/08 12:16:04,1944.6217754528552,5432.517150223621,6318.4614747996,1437.7704170689024,8484.891527444877
2022/05/08 12:16:06,1944.7381072539333,5432.1689692510545,6319.644554181551,1437.51689019269,8484.95129970527
2022/05/08 12:16:08,1944.9804651728457,5432.037225099271,6321.154663636561,1437.3121184849795,8485.260123050622
2022/05/08 12:16:10,1945.3003776258101,5432.103097175162,6322.924473443708,1437.1951060805739,8485.817997480937
2022/05/08 12:16:12,1945.6590673458004,5432.272482513168,6324.857798287383,1437.097595743569,8486.555188692426
2022/05/08 12:16:15,1946.095311599843,5432.592432596069,6327.012349356952,1437.0585916087668,8487.43184851149
2022/05/08 12:16:17,1946.5994160711807,5433.147640092864,6329.532404625823,1437.0878447098682,8488.527673285325
2022/05/08 12:16:19,1947.1810750765706,5433.825181444887,6332.2544490574655,1437.1951060805739,8489.832700970528
2022/05/08 12:16:21,1947.8402886160122,5434.653287541805,6335.188101183441,1437.3511226197816,8491.3170454369
2022/05/08 12:16:23,1948.5576680559932,5435.62254808706,6338.304505409068,1437.565645361192,8493.010592814644
2022/05/08 12:16:25,1949.3235190797566,5436.742373377208,6341.613280265906,1437.8289232711054,8495.052811711334
2022/05/08 12:16:27,1950.0893701035197,5437.88101926047,6344.922055122743,1438.0922011810183,8497.354043736383
2022/05/08 12:16:28,1950.9230813445786,5439.189050481736,6348.442437673913,1438.4139852931344,8499.67519984823
2022/05/08 12:16:30,1951.8343471196895,5440.7229288203425,6352.184046450977,1438.813777674854,8502.275293175235
2022/05/08 12:16:32,1952.842556062365,5442.46383368318,6356.185355580176,1439.3013293598785,8505.164285760797
2022/05/08 12:16:34,1953.850765005041,5444.778766635925,6360.513694782435,1439.8473872471054,8508.471684169093
2022/05/08 12:16:36,1954.8589739477168,5447.423059968126,6365.303723499602,1440.3934451343323,8512.217412486923
2022/05/08 12:16:38,1955.867182890392,5450.415534272895,6370.555441731676,1440.9395030215596,8516.331736410499
2022/05/08 12:16:40,1956.875391833068,5454.038498446906,6376.172664163051,1441.4855609087865,8520.99397272099
2022/05/08 12:16:42,1957.8836007757438,5457.6614626209175,6381.789886594427,1442.0316187960138,8527.030971020471
2022/05/08 12:16:43,1958.9111983519324,5461.62319747094,6387.455201683606,1442.5776766832407,8533.097855450149
2022/05/08 12:16:45,1960.0163504621735,5465.641394100299,6393.1301353043455,1443.387012480381,8539.284284400608
2022/05/08 12:16:47,1961.3444718578132,5469.697231915881,6398.901254240691,1444.1963482775209,8545.570333785054
2022/05/08 12:16:49,1962.7404534707491,5473.856582993577,6404.681991708596,1445.0154351083618,8551.956003603482
2022/05/08 12:16:51,1964.1364350836848,5478.213550298948,6410.578151555228,1445.8345219392022,8558.4213697691
